title,overview,genres,release_date,runtime,vote_average
The Love Witch,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder.","[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",2016-11-11,120.0,5.9
Enthiran,"Dr. Vasi invents a super-powered robot, Chitti, in his own image. The scientific body, AIRD, that must approve the robot, declines it based on its not having emotions and the ability to make rational judgment. A sudden flash of lightning evokes emotions in the robot, and Chitti is seemingly ready for integration into the human world. Then, Chitti falls in love with Dr. Vasi's fiancée Sana and turns on his creator.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",2010-10-01,155.0,6.5
Love On-Air,Former K-pop idol-turned-radio DJ Shin Jin Ah must find a way to revive her failing show with an overbearing boss who won't stand for her diva-like ways.,"[{'id': 18, 'name': 'Drama'}]",2012-01-05,120.0,6.6
Sir Arne's Treasure,"Three Scottish officers, including Sir Archi, murder Sir Arne and his household for a coffin filled with gold. The only survivor is Elsalill, who moves to relatives in Marstrand. There she meets a charming young officer - Sir Archi, and she soon understands that he was one of the murderers. She is in a classic dilemma between her love for Sir Archi and justice.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1919-09-18,106.0,6.7
My Man Godfrey,"The eccentric Bullock household again need a new butler. Daughter Irene encounters bedraggled Godfrey Godfrey at the docks and, fancying him and noticing his obviously good manners, gets him the job. He proves a great success, but keeps his past to himself. When an old flame turns up Irene's sister Cordelia starts making waves.","[{'id': 35, 'name': 'Comedy'}]",1957-10-11,92.0,6.4
Deadly Weapons,"After the mob hits a guy with a list, one of the hoods keeps the list for himself to blackmail the people on it. When the mobsters find out he's a double-crosser, they off him, which angers his busty girlfriend. She goes after them using the only two weapons she has.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1974-04-04,75.0,3.6
Always - Sunset on Third Street,"Leaving her provincial home, teenage Mutsuko arrives in Tokyo by train to take a job in a major automotive company but finds that she is employed by a small auto repair shop owned by Norifumi Suzuki. Suzuki's hair-trigger temper is held somewhat in check by the motherly instincts of his wife, Tomoe, and his young son Ippei immediately bonds with Mutsuko as if she were his older sister. The Suzuki shop lies almost in the shadow of the Tokyo Tower as it rises steadily above the skyline during construction in 1958.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2005-11-11,133.0,7.4
Berserk: The Golden Age Arc 3 - The Advent,"A year has passed since Guts parted ways with the Band of the Hawks. Meanwhile, his former mercenary group is plotting a rescue mission to save an imprisoned Griffith.","[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",2013-02-01,110.0,7.4
La Californie,,"[{'id': 18, 'name': 'Drama'}]",2006-10-26,,0.0
Microwave Massacre,A guy kills his wife because she's a bad cook.,"[{'id': 27, 'name': 'Horror'}]",1983-08-31,76.0,4.8
