title,overview,genres,release_date,runtime,vote_average
The Sparrow's Fluttering,"A woman, who has been the mistress of a man who has just died, thinks about leaving the little Italian village where they lived and moving to another place. An old and rich man offers her a place in his house, however, she will have to listen to him telling his past love stories.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1988-01-01,95.0,0.0
Everything Before Us,"The Department of Emotional Integrity (DEI) documents all relationship activity. A 'relationship score' is given to keep people accountable for their choices. The score is public for all to see, and affects various aspects of daily life. Two couples, teenagers and early 30s, face different but intersecting challenges in their relationships within the rules of the DEI.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2015-06-03,101.0,4.9
Born American,"Three American students vacationing in Finland, cross the border into Russia for fun of it. When they are spotted by the Russian soldiers who are shooting to kill, it's not fun anymore. Captured and thrown in jail, they find it's not fun either. It's a nightmare.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",1986-08-30,97.0,3.6
The Time Traveler's Wife,"Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}]",2009-08-14,107.0,6.7
Crane World,The portrait of a man and his attempts to make things up with life after losing his job.,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",1999-06-17,90.0,6.7
The Birth of the Tramp,"A look back at Charlie Chaplin's early life and career, from his rough childhood and music hall success in England to his early Hollywood days and the development of his enormously popular ""Little Tramp"" character.","[{'id': 99, 'name': 'Documentary'}, {'id': 10770, 'name': 'TV Movie'}]",2013-12-29,52.0,7.0
Scanners II: The New Order,A scanner discovers a plot by renegade elements in the city government to take power with the help of evil scanners.,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",1991-06-28,104.0,4.6
Valley of the Dragons,"In 1881, Michael Denning, an American soldier, and Hector Servadac, a French aristocrat, are about to have a duel over a woman that they both are infatuated with. However, just as the two men are about to shoot at each other, a comet strikes the Earth and the gravitational pull draws in the two men. Michael and Hector soon deduce that this comet has been periodically landing on Earth and gathering people and animals from various eras in time, including people and dinosaurs. The two men then decide to put their differences aside and fight for survival as well as help make peace between two warring tribes of cavemen. Written by Brian Washington","[{'id': 878, 'name': 'Science Fiction'}]",1961-10-31,82.0,5.0
En Büyük Şaban,A good man trys to help a blind girl to see again but he doesn't have enough money for the operation.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1983-02-21,95.0,7.3
White Palms,"Having suffered as a boy under a brutal Communist-era coach, champion Hungarian gymnast Miklos moves to Canada years later in search of a new start - only to find himself unwittingly perpetuating the very same cycle of abuse among his own pupils.","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",2006-01-15,97.0,7.4
The Night Porter,"In this unsettling drama from Italian filmmaker Liliana Cavani, a concentration camp survivor discovers her former torturer and lover working as a porter at a hotel in postwar Vienna. When the couple attempt to re-create their sadomasochistic relationship, his former SS comrades begin to stalk them. Operatic and disturbing, The Night Porter deftly examines the lasting social and psychological effects of the Nazi regime.","[{'id': 18, 'name': 'Drama'}]",1974-04-03,118.0,6.6
Industrial Symphony No. 1: The Dream of the Brokenhearted,"After her boyfriend ends their relationship, the dreamself of a heartbroken woman floats through the air over an industrial wasteland singing ballads of love.","[{'id': 10402, 'name': 'Music'}]",1990-01-01,50.0,6.7
Snails in the Rain,"Tel Aviv, Summer 1989. Boaz, a beautiful and alluring linguistics student, receives anonymous, male written love letters, that undermine his sexual identity and interfere on his peaceful life with his beloved girlfriend.","[{'id': 18, 'name': 'Drama'}]",2013-06-20,82.0,6.7
Bettie Page Reveals All,"The world's greatest pinup model and cult icon, Bettie Page, recounts the true story of how her free expression overcame government witch-hunts to help launch America's sexual revolution.","[{'id': 99, 'name': 'Documentary'}]",2013-11-22,101.0,7.1
Evim Sensin,"After returning back to family, Leyla tries to fix everytihng while starting a new life wit Iskender. Everything goes smoothly until troubles find Leyla...","[{'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",2012-11-02,91.0,6.8
The Scenesters,"Someone is killing beautiful young Hipsters in East L.A. Charlie is a crime scene cleaner working for Aftershocks Inc. with a penchant for Sherlock Holmes type deduction. Wallace is an out-of-luck filmmaker working as a crime scene videographer. The detectives covering the murders are apathetic at best but with good names (Henry and Carlita, particularly Carlita). Good names, bad attitudes.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",2009-08-31,0.0,4.5
The First Annual 'On Cinema' Oscar Special,The First Annual 'On Cinema' Oscar Special,"[{'id': 35, 'name': 'Comedy'}]",2013-02-24,110.0,0.0
Le Divorce,"While visiting her sister in Paris, a young woman finds romance and learns her brother-in-law is a philanderer.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2003-08-08,117.0,4.8
Drag Becomes Him,Drag Becomes Him provides an intimate glimpse inside the life of internationally acclaimed drag performer Jinkx Monsoon.,"[{'id': 99, 'name': 'Documentary'}]",2015-04-29,82.0,8.0
Nice and Easy,"Sebastian has one ambition in life: to do nothing. His horizon is his couch. His life he does not want to live but contemplate. But today, if you do nothing - You are nothing. So driven by his two roommates, that chain internships and odd jobs, decided to Anna and not quite decided Bruno, Sebastien will have to - A little.","[{'id': 35, 'name': 'Comedy'}]",2014-05-07,93.0,6.9
"Kidnapping, Caucasian Style","In this comic but dated story, nerdy Shurik travels to Caucas in search of native legends and folklore. But what he finds is a beautiful girl whom, due to intoxication and deceit of the local ""gang"", he ends up literally stealing for the local deceitful governor. All the time Shurik thinks that it is all just a one old Caucasian custom. When he, finally, realizes what he did he goes out in search for the girl of his dreams. Written by Ptah Hoteb","[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1967-04-03,82.0,7.5
Marc Maron: More Later,"Filmed at The Vic Theatre in Chicago, Marc Maron: More Later captures Maron as he dishes out compelling, raw, and wildly honest stand-up. In this brand new special, Maron tackles religion, relationships, rage, Skype sex and ice cream among other topics in the sheerly authentic way that only he can.","[{'id': 35, 'name': 'Comedy'}]",2015-12-04,75.0,8.1
Incubus,"On a strange island inhabited by demons and spirits, a man battles the forces of evil.","[{'id': 27, 'name': 'Horror'}]",1966-10-26,78.0,4.3
The Ghosts in Our Machine,"Through the heart and photographic lens of international photographer Jo-Anne McArthur, we become intimately familiar with a cast of non-human animals. The film follows Jo-Anne over the course of a year as she photographs several animal stories in parts of Canada, the U.S. and in Europe. Each story is a window into global animal industries: Food, Fashion, Entertainment and Research.","[{'id': 99, 'name': 'Documentary'}]",2013-04-28,93.0,8.0
Horst Schlämmer - Isch kandidiere!,No overview found.,"[{'id': 35, 'name': 'Comedy'}]",2009-08-20,96.0,3.4
The Red Elvis,,"[{'id': 99, 'name': 'Documentary'}]",2007-02-13,90.0,8.0
Looking for Richard,"Al Pacino's deeply-felt rumination on Shakespeare's significance and relevance to the modern world through interviews and an in-depth analysis of ""Richard III.""","[{'id': 99, 'name': 'Documentary'}]",1996-10-11,112.0,6.9
Waffle Street,"WAFFLE STREET is the true story of Jimmy Adams, a V.P. of a $30 billion hedge fund, who loses his job and winds up working as a waiter at a waffle shop. Amidst the greasy madness of the 24-hour diner, Jimmy befriends Edward, an ex-con grill master who serves up hard lessons about life, finance, and grits.","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2015-09-24,86.0,6.1
Feds,"Ellie DeWitt and Janis Zuckermann are admitted to the very strict FBI Training Academy. They get a hard course, in which they learn to deal with guns and to recognise crimes. They also get a physical training. It appears that Ellie is a real fighting- machine, in contrast with Janis, the great student. They have to help each other, all the way to graduation.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1988-10-28,90.0,5.7
Stasis,"After a night out of partying and left behind by her friends, Ava wakes up and sneaks back home only to find that she's already safe in bed. But that's not Ava - it's someone who looks just like her. A time-traveling fugitive has stolen Ava's body, her identity, and her life. What's more -- she's not alone. There are others, hiding in the past, secretly living among us, plotting to alter the future. Without her body, Ava is a virtual ghost, silent and invisible to the world. And, so far as she knows, she's the only one who can stop them and put the timeline back on course.","[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2017-06-02,84.0,4.0
The Good Son,"A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior.","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1993-09-24,87.0,6.2
The Arbor,"Portrayal of the late Bradford playwright Andrea Dunbar.  Andrea Dunbar wrote honestly and unflinchingly about her upbringing on the notorious Buttershaw Estate in Bradford and was described as ‘a genius straight from the slums.’ When she died tragically at the age of 29 in 1990, Lorraine was just ten years old.  The Arbor revisits the Buttershaw Estate where Dunbar grew up, thirty years on from her original play, telling the powerful true story of the playwright and her daughter Lorraine.  Also aged 29, Lorraine had become ostracised from her mother’s family and was in prison undergoing rehab. Re-introduced to her mother’s plays and letters, the film follows Lorraine’s personal journey as she reflects on her own life and begins to understand the struggles her mother faced.","[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",2010-10-22,94.0,6.1
Grand Hotel,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1932-05-25,112.0,6.5
The Caine Mutiny Court-Martial,"A full-length adaptation, originally staged as a play, of the court-martial segment from the novel ""The Caine Mutiny"".",[],1988-05-08,100.0,3.0
Nice People,"As the first African team ever, Somalia has just signed up for the Bandy World Championships. The young players doesn't live in Somalia. They live in Borlänge, Sweden, where xenophobia has taken hold.","[{'id': 99, 'name': 'Documentary'}]",2015-01-28,96.0,9.0
Wilde,"The story of Oscar Wilde, genius, poet, playwright and the First Modern Man. The self-realisation of his homosexuality caused Wilde enormous torment as he juggled marriage, fatherhood and responsibility with his obsessive love for Lord Alfred Douglas.","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1997-09-01,118.0,6.7
The Overbrook Brothers,Road movie about two brothers who drive to Texas to find out the truth behind their parents.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2009-03-01,92.0,0.0
Hamlet,"Shakespeare's 17th century masterpiece about the ""Melancholy Dane"" was given one of its best screen treatments by Soviet director Grigori Kozintsev. Kozintsev's Elsinore was a real castle in Estonia, utilized metaphorically as the ""stone prison"" of the mind wherein Hamlet must confine himself in order to avenge his father's death. Hamlet himself is portrayed (by Innokenti Smoktunovsky) as the sole sensitive intellectual in a world made up of debauchers and revellers. Several of Kozintsev directorial choices seem deliberately calculated to inflame the purists: Hamlet's delivers his ""To be or not to be"" soliloquy with his back to the camera, allowing the audience to fill in its own interpretations.","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",1964-06-24,140.0,7.5
The Howling Miller,"The main character is a miller, who sometimes acts strangely but is otherwise a goodhearted hardworking honest man. He sometimes keeps the villagers up all night by howling. Finally the villagers decide that the miller has to be committed into a mental hospital, where the hero does not have to spend too much time until he escapes. The miller takes to the woods near his home but there he is constantly harassed by the chief of the police with his posse.","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1982-11-05,95.0,6.0
Dear Lemon Lima,"Vanessa gets a dose of reality when Philip, her one true love, ends their relationship, again. The quirky teen enrolls in his school to win him back, but ends up making matters worse. Downgraded to social outcast, Vanessa struggles to reclaim Phillip's affection. Luckily, when Vanessa is declared a captain for the school's Snowstorm Survivor competition, she assembles a team of like-minded misfits to prove they deserve to compete and hopefully win her love's heart again.","[{'id': 18, 'name': 'Drama'}]",2009-10-23,87.0,5.8
A Note of Triumph: The Golden Age of Norman Corwin,"On May 8th, 1945, writer, director Norman Corwin broadcast ON A NOTE OF TRIUMPH, an unforgettable homage to the end of war in Europe. This film shines a light on a lost work of genius, and examines it's haunting resonance to today's current events.",[],2005-08-19,39.0,0.0
City of Dead Men,An American traveling in South America ends up living with a group of misfits at an abandoned hospital with a troubling past.,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",2014-11-15,87.0,4.8
The Reformer and the Redhead,A small-town politician falls for an idealistic zookeeper.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1950-05-05,90.0,0.0
Angels Sing,"As a child, Michael Walker wished every day could be Christmas. That is, until a tragic accident crushed his holiday spirit. Thirty years later, Michael still can't muster any joy for the holidays, despite encouragement from his playful wife and well-intentioned parents. But when his young son faces a tragedy, Michael needs to make amends with his past. A mysterious man named Nick gives Michael a gift and instills in him the courage to find the joy that he lost.","[{'id': 10770, 'name': 'TV Movie'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",2013-10-19,87.0,5.2
Sky. Plane. Girl.,"The tale of a brief, life-altering love affair between two unsuspecting and seemingly opposite Muscovites. While waiting to catch his late night flight, famous TV war reporter Gheorghi (Dimitri Orlov) catches sight of passing flight attendant Lara (Renata Litvinova) and is immediately smitten by her beauty and earnest demeanor. After their unexpected meeting, the pair finds a strong mutual attraction that becomes rather heated nearly instantaneously. Thus Gheorghi's structured life gets turned inside out as he falls deeper and deeper in love with Lara -- whose warmth, faithfulness, and emotional honesty force him to take stock of his life, especially now that love has become a part of it.",[],2002-09-02,91.0,4.3
Boy,A poet sells his collection of comic books and action figures in order to afford to hire a male stripper on New Years Eve.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",2009-01-01,80.0,5.0
A Day in the Country,"The family of a Parisian shop-owner spends a day in the country. The daughter falls in love to a man at the inn, where they spend the day.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1936-05-05,40.0,7.5
A Few Dollars for Django,"Django, bounty killer, hunter and repentant bandit wants to start a new life. No more bullets and blood, after years of killing and horror. Django wants to replace the sherrif and restore law and order to lawless land, but faces the history and bloodshed of his own past. Helped by the love of the daughter of a bandit Django can finally bring his life of violence to and end and spend his days in peace... If he can live that long!",[],1966-09-09,97.0,5.3
Love at the Top,The relationship between a successful businessman and a prostitute is exploited by a cynical novelist.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1974-03-13,105.0,6.8
Dangerous Ground,"Vusi Madlazi returns to the South African village he left as a young boy to bury his father. He meets up with his brother Ernest, who tells him their other brother Stephen couldn't be contacted. Vusi goes to Johannesburg to find him, but at first can only find his neighbor/girlfriend, Karin, a stripper. Vusi proceeds to learn how conditions have changed since the end of apartheid, not always for the better for black men.","[{'id': 18, 'name': 'Drama'}]",1997-02-12,95.0,5.0
In Lieu of Flowers,Most love stories are about losing love or finding it. This is a story about what happens in between.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2013-04-28,90.0,5.5
Trapped,"When their daughter is kidnapped by experienced nappers (Bacon and Love), the Jennings' (Theron and Townsend) turn the tables on this seemingly foolproof plan.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2002-09-20,106.0,5.8
Ajlawju,,[],1999-06-18,87.0,6.3
Where The Red Fern Grows II: The Classic Continues,An embittered WWII veteran returns to his grandfather's home in the Louisiana woods. The old man helps his grandson readjust by giving him two hound dog puppies to care for.,"[{'id': 10751, 'name': 'Family'}]",1992-01-01,96.0,5.5
Vacation,"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.","[{'id': 35, 'name': 'Comedy'}]",2015-07-28,99.0,6.1
Hell House,"A look at the ""Hell House"" performed annually in October by the youth members of Trinity Church (Assemblies of God) in Cedar Hill, Texas (a Dallas suburb) — seen by over 10,000 visitors each year.","[{'id': 99, 'name': 'Documentary'}]",2001-09-12,85.0,6.8
Stella Dallas,"Working-class Stella Martin marries high-end Stephen Dallas and soon they have a daughter named Laurel. But Stephen's incessant demands of Stella to become what she isn't leads to their eventual separation. Stephen later marries Helen Morrison (his prior fiancée), and Laurel becomes the focus of Stella's life and love. Nothing is too good for Laurel as far as Stella is concerned. Determined to give her all the advantages, she takes Laurel on a trip to an expensive resort where Laurel makes friends with rich kids. After an embarrassing incident, Stella realizes that her daughter would go farther in life without Stella as her mother. Her subsequent sacrifice is shattering.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1937-08-06,106.0,6.7
Paris by Night,"Police commander Simon Weiss, head of the division that supervises Paris’s demi-monde, starts out on his nightly tour of bars, discos and strip clubs, making sure once again that the owners don’t bend the rules too far. Weiss knows he’s between a rock and hard place: it’s obvious that criminal gangs run rampant in his special domain, and even more obvious that they’re protected by higher-ups in the department.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2012-01-03,100.0,6.1
Lies & Illusions,"When a menacing smuggler coolly insists that best-selling author Wes Wilson take a chauffeured backseat ride with him, Wilson's charmed life explodes into a world of violence and espionage, and he learns shocking truths about two women in his life.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",2009-08-26,92.0,3.9
Aim High In Creation,"A revolutionary film about the cinematic genius of North Korea's late Dear Leader Kim Jung-IL, with a groundbreaking experiment at its heart - a propaganda film, made according to the rules of his 1987 manifesto. Through the shared love of cinema, AIM HIGH IN CREATION! forges an astonishing new bond between the hidden filmmakers of North Korea and their Free World collaborators. Revealing an unexpected truth about the most isolated nation on earth: filmmakers, no matter where they live, are family.","[{'id': 10769, 'name': 'Foreign'}, {'id': 99, 'name': 'Documentary'}]",2013-11-19,96.0,7.0
Ashura,"Adapted from the successful play, the film takes place in the 19th Japan where a war between demons and their slayers is fought. Izumo, an Kabuki actor with a demon-slaying past, meets and falls in love with Tsubaki. However, something is not right as mysterious marks appear on her body as time progresses. At the same time, it is announced that Ashura, the queen of all demons, will be resurrected and bring destruction to the universe.","[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2005-01-01,119.0,3.8
Jarhead 2: Field of Fire,"Battle-scarred and disillusioned by the war, Corporal Chris Merrimette is put in charge of a unit whose next mission is to resupply a remote outpost on the edge of Taliban-controlled territory. While driving through the hostile Helmand province, a Navy SEAL flags down their convoy and enlists the unit on an operation of international importance: they must help an Afghan woman famous for her defiance of the Taliban escape the country. Without tanks or air support, Merrimette and his team will need all the courage and firepower they can muster to fight their way across the war-torn country and shepherd the woman to safety.","[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",2014-08-14,103.0,5.5
Thunderbolt and Lightfoot,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organise a daring new heist.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1974-05-23,115.0,6.6
The Reader,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2008-12-10,124.0,7.2
The Return of the Living Dead,"When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",1985-05-15,91.0,7.3
"Hello, Dolly!","Matchmaker, Dolly Levi takes a trip to Yonkers, New York to see the ""well-known unmarried half-a-millionaire,"" Horace Vandergelder. While there, she convinces him, his two stock clerks and his niece and her beau to go to New York City.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1969-12-12,146.0,6.6
Last Call at the Oasis,Participant Media’s Last Call at the Oasis is a new documentary from Jessica Yu &amp; Elise Pearlstein. Think water is an infinite resource? Think again.,"[{'id': 99, 'name': 'Documentary'}]",2011-09-09,105.0,7.0
"One, Two, Three",A Coca-Cola executive in West Berlin tries to keep the boss's daughter from marrying a Communist.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1961-12-15,115.0,7.6
El analfabeto,"Inocencio Prieto y Calvo receives a letter telling him he is the heir to his uncle's fortune of two million pesos. Not being able to read he has no idea of who sent the letter or its content.  So he goes to the drugstore because the pharmacist can read the letter to him.  But while waiting to be helped he sees that a young girl can read.  He figures he has to be able to discover the letter's content by himself and decides he will save the letter and go to school, and wait to  read the letter on his own.","[{'id': 35, 'name': 'Comedy'}]",1961-09-07,128.0,5.2
The Pink Panther,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for Switzerland, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1963-12-19,115.0,6.9
The Night Child,"The titular medallion is a gift presented to young Nicole Elmi. Once the girl places the gift around her neck, she is possessed by the spirit of a dead child who was a murderess.","[{'id': 27, 'name': 'Horror'}]",1975-04-22,90.0,5.9
King of the Jungle,"Seymore is a young man with the mind of a child. He loves three things in life: basketball, sneaking out for cigarettes, and his mother. But all life's simple pleasures are brutally torn from him when he witnesses his mother gunned down by a neighborhood punk.  Now Seymore must overcome the child within as he rises up to fight for some kind of justice. It's a fight that will take him out into the streets where there are few friends and many enemies -- and one of them is a killer who wants him silenced.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2000-10-12,87.0,5.0
Agenzia Riccardo Finzi... praticamente detective,,[],1979-12-21,,5.5
Faces of Death III,"This third installment focuses largely on serial killers, with lengthy re-enactments of police investigations of bodies being found in a dumpster, and a staged courtroom sequence with Schwartz again making a cameo appearance as the serial killer on trial for raping and murdering a girl, allegedly captured on video. Schwartz has identified the girl allegedly killed in the video as his then girlfriend, who he claims was a willing participant.","[{'id': 27, 'name': 'Horror'}, {'id': 99, 'name': 'Documentary'}]",1985-03-10,86.0,3.4
"Goodbye, Mr. Chips","A shy British teacher looks back nostalgically at his long career, taking note of the people touched his life.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1939-07-28,114.0,7.2
Irreversible,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",2002-05-22,97.0,7.1
Come Live with Me,"Seeking US citizenship, a Viennese refugee arranges a marriage of convenience with a struggling writer.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1941-01-31,86.0,8.0
Cheech & Chong's Hey Watch This,"A documentary based on Cheech and Chong's ""Light Up America"" reunion tour.","[{'id': 99, 'name': 'Documentary'}, {'id': 35, 'name': 'Comedy'}]",2010-04-20,83.0,6.1
The Wild and Wonderful Whites of West Virginia,"A documentary about the White family of Boone County, West Virginia. The 1991 documentary The Dancing Outlaw focused on Jesco White, a famous mountain dancer. This film focuses on the other members of his family.","[{'id': 99, 'name': 'Documentary'}]",2009-04-01,86.0,6.5
Jin-Roh: The Wolf Brigade,"A member of an elite paramilitary counter-terrorism unit becomes traumatized after witnessing the suicide bombing of a young girl and is forced to undergo retraining. However, unbeknownst to him, he becomes a key player in a dispute between rival police divisions, as he finds himself increasingly involved with the sister of the girl he saw die.","[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1999-11-17,102.0,7.4
Fearless Hyena Part II,"A pair of evil kung-fu artists, Heaven and Earth, are slaughtering the entire Yin-Yang brotherhood.","[{'id': 28, 'name': 'Action'}]",1983-03-04,92.0,6.5
Strangers in Good Company,"A busload of women become stranded in an isolated part of the Canadian countryside. As they await rescue, they reflect on their lives through a mostly ad-libbed script.","[{'id': 18, 'name': 'Drama'}]",1990-10-01,101.0,7.0
The Return,A story of two Russian boys whose father suddenly returns home after a 12-year absence. He takes the boys on a holiday to a remote island on a lake that turns into a test of manhood of almost mythic proportions.,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",2003-06-25,105.0,7.4
The Eye Above the Well,"A poetic depiction of life and ritual in the south Indian state of Kerala. We see how knowledge is passed down from generation to generation: within the family, through the village economy, and especially from teachers to students. Performance footage shows how song, dance, martial arts, and religion constitute the building blocks of a culture.","[{'id': 99, 'name': 'Documentary'}]",1988-01-01,94.0,7.0
The Goddess,"The story of a young prostitute who is trying to give her infant son a good start in life, fighting against the prejudices of others and the attentions of a pimp.","[{'id': 18, 'name': 'Drama'}]",1934-01-01,73.0,6.4
Mother's Day,Intersecting stories with different moms collide on Mother's Day.,"[{'id': 35, 'name': 'Comedy'}]",2016-04-28,118.0,5.8
Brothers of the Head,"In the 1970s a music promoter plucks Siamese twins from obscurity and grooms them into a freakish rock'n'roll act. A dark tale of sex, strangeness and rock music.","[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",2005-01-01,93.0,6.7
Le roman de Georgette,,"[{'id': 35, 'name': 'Comedy'}]",2003-01-01,100.0,6.0
Extinction: Nature Has Evolved,"The amazing footage you will see in this documentary was recorded during an expedition to the Amazon in South America. It has been assembled as per the camera time codes. It has not been altered or tampered with in any way and after extensive testing has been considered absolutely genuine. What you will see will change the way you view the natural world. Are you ready for that? For in the heart of the rainforest, a team of researchers led by the respected Professor John Howson strived to protect endangered and vulnerable species from extinction. But their guides abandoned them after a series of strange and unexplainable events and the team soon got hopelessly lost in the jungle. When events took a horrifying turn, the team realized that they were in the hunting grounds of an apex predator. And now they were the ones on the endangered species list.","[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",2017-03-10,100.0,0.0
Hanzo,,"[{'id': 35, 'name': 'Comedy'}]",1975-04-01,65.0,6.3
His Way,"A look at the professional, political and personal life of legendary movie producer Jerry Weintraub featuring interviews with friends, family and colleagues.","[{'id': 99, 'name': 'Documentary'}]",2011-03-04,87.0,6.0
